Film,Name,Category,Year_Film,Year_Ceremony,Critic_Score,Audience_Score,Winner,Unique_Group_ID
1941,"Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa",SOUND,1979,1980,0.39,0.48,False,10
2001: A Space Odyssey,"Stanley Kubrick, Arthur C. Clarke",WRITING (Story and Screenplay--written directly for the screen),1968,1969,0.92,0.89,False,11
2001: A Space Odyssey,Stanley Kubrick,SPECIAL VISUAL EFFECTS,1968,1969,0.92,0.89,True,11
2001: A Space Odyssey,Stanley Kubrick,DIRECTING,1968,1969,0.92,0.89,False,11
2001: A Space Odyssey,"Art Direction:  Tony Masters, Harry Lange, Ernie Archer",ART DIRECTION,1968,1969,0.92,0.89,False,11
21 Grams,Benicio Del Toro,ACTOR IN A SUPPORTING ROLE,2003,2004,0.81,0.86,False,12
21 Grams,Naomi Watts,ACTRESS IN A LEADING ROLE,2003,2004,0.81,0.86,False,12
3:10 to Yuma,Marco Beltrami,MUSIC (Original Score),2007,2008,0.89,0.86,False,13
3:10 to Yuma,"Paul Massey, David Giammarco and Jim Stuebe",SOUND MIXING,2007,2008,0.89,0.86,False,13
4 Little Girls,"Spike Lee, Sam Pollard",DOCUMENTARY (Feature),1997,1998,1.0,0.89,False,14
5 Broken Cameras,Emad Burnat and Guy Davidi,DOCUMENTARY (Feature),2012,2013,0.96,0.88,False,15
8 Mile,"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem",MUSIC (Original Song),2002,2003,0.75,0.54,True,16
A Beautiful Day in the Neighborhood,Tom Hanks,ACTOR IN A SUPPORTING ROLE,2019,2020,0.95,0.92,False,17
A Beautiful Mind,Written by Akiva Goldsman,WRITING (Screenplay Based on Material Previously Produced or Published),2001,2002,0.74,0.93,True,18
A Beautiful Mind,James Horner,MUSIC (Original Score),2001,2002,0.74,0.93,False,18
A Beautiful Mind,"Greg Cannom, Colleen Callaghan",MAKEUP,2001,2002,0.74,0.93,False,18
A Beautiful Mind,"Mike Hill, Dan Hanley",FILM EDITING,2001,2002,0.74,0.93,False,18
A Beautiful Mind,Russell Crowe,ACTOR IN A LEADING ROLE,2001,2002,0.74,0.93,False,18
A Beautiful Mind,"Brian Grazer and Ron Howard, Producers",BEST PICTURE,2001,2002,0.74,0.93,True,18
A Beautiful Mind,Ron Howard,DIRECTING,2001,2002,0.74,0.93,True,18
A Beautiful Mind,Jennifer Connelly,ACTRESS IN A SUPPORTING ROLE,2001,2002,0.74,0.93,True,18
A Better Life,Demián Bichir,ACTOR IN A LEADING ROLE,2011,2012,0.86,0.79,False,19
A Bug's Life,Randy Newman,MUSIC (Original Musical or Comedy Score),1998,1999,0.92,0.73,False,20
A Bug's Life,Randy Newman,MUSIC (Original Musical or Comedy Score),1998,1999,0.92,0.73,False,20
A Fantastic Woman,Chile,FOREIGN LANGUAGE FILM,2017,2018,0.94,0.76,True,21
A Fish Called Wanda,Charles Crichton,DIRECTING,1988,1989,0.96,0.84,False,22
A Fish Called Wanda,Kevin Kline,ACTOR IN A SUPPORTING ROLE,1988,1989,0.96,0.84,True,22
A Fish Called Wanda,"Screenplay by John Cleese;  Story by John Cleese, Charles Crichton",WRITING (Screenplay Written Directly for the Screen),1988,1989,0.96,0.84,False,22
A History of Violence,Screenplay by Josh Olson,WRITING (Adapted Screenplay),2005,2006,0.88,0.76,False,23
A History of Violence,William Hurt,ACTOR IN A SUPPORTING ROLE,2005,2006,0.88,0.76,False,23
A Little Night Music,Florence Klotz,COSTUME DESIGN,1977,1978,0.17,0.29,False,24
A Little Night Music,Adaptation Score by Jonathan Tunick,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),1977,1978,0.17,0.29,True,24
A Little Romance,Allan Burns,WRITING (Screenplay Based on Material from Another Medium),1979,1980,0.72,0.84,False,25
A Little Romance,Georges Delerue,MUSIC (Original Score),1979,1980,0.72,0.84,True,25
A Mighty Wind,Music and Lyric by Michael McKean and Annette O'Toole,MUSIC (Original Song),2003,2004,0.87,0.75,False,26
A Passage to India,Maurice Jarre,MUSIC (Original Score),1984,1985,0.76,0.79,True,27
A Passage to India,David Lean,FILM EDITING,1984,1985,0.76,0.79,False,27
A Passage to India,"Art Direction:  John Box, Leslie Tomkins;  Set Decoration:  Hugh Scaife",ART DIRECTION,1984,1985,0.76,0.79,False,27
A Passage to India,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, John Mitchell",SOUND,1984,1985,0.76,0.79,False,27
A Passage to India,David Lean,WRITING (Screenplay Based on Material from Another Medium),1984,1985,0.76,0.79,False,27
A Passage to India,David Lean,DIRECTING,1984,1985,0.76,0.79,False,27
A Passage to India,Judy Moorcroft,COSTUME DESIGN,1984,1985,0.76,0.79,False,27
A Passage to India,Peggy Ashcroft,ACTRESS IN A SUPPORTING ROLE,1984,1985,0.76,0.79,True,27
A Passage to India,Ernest Day,CINEMATOGRAPHY,1984,1985,0.76,0.79,False,27
A Passage to India,Judy Davis,ACTRESS IN A LEADING ROLE,1984,1985,0.76,0.79,False,27
A Passage to India,"John Brabourne and Richard Goodwin, Producers",BEST PICTURE,1984,1985,0.76,0.79,False,27
A Prophet,France,FOREIGN LANGUAGE FILM,2009,2010,0.96,0.89,False,28
A Quiet Place,Ethan Van der Ryn and Erik Aadahl,SOUND EDITING,2018,2019,0.96,0.83,False,29
A Room with a View,Denholm Elliott,ACTOR IN A SUPPORTING ROLE,1986,1987,0.6,0.2,False,30
A Room with a View,James Ivory,DIRECTING,1986,1987,0.6,0.2,False,30
A Room with a View,"Art Direction:  Gianni Quaranta, Brian Ackland-Snow;  Set Decoration:  Brian Savegar, Elio Altamura",ART DIRECTION,1986,1987,0.6,0.2,True,30
A Room with a View,Ruth Prawer Jhabvala,WRITING (Screenplay Based on Material from Another Medium),1986,1987,0.6,0.2,True,30
A Room with a View,"Ismail Merchant, Producer",BEST PICTURE,1986,1987,0.6,0.2,False,30
A Room with a View,Tony Pierce-Roberts,CINEMATOGRAPHY,1986,1987,0.6,0.2,False,30
A Room with a View,"Jenny Beavan, John Bright",COSTUME DESIGN,1986,1987,0.6,0.2,True,30
A Room with a View,Maggie Smith,ACTRESS IN A SUPPORTING ROLE,1986,1987,0.6,0.2,False,30
A Royal Affair,Denmark,FOREIGN LANGUAGE FILM,2012,2013,0.9,0.82,False,31
A Serious Man,"Joel Coen and Ethan Coen, Producers",BEST PICTURE,2009,2010,0.89,0.68,False,32
A Serious Man,Written by Joel Coen & Ethan Coen,WRITING (Original Screenplay),2009,2010,0.89,0.68,False,32
A Soldier's Story,Adolph Caesar,ACTOR IN A SUPPORTING ROLE,1984,1985,0.9,0.82,False,33
A Soldier's Story,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",BEST PICTURE,1984,1985,0.9,0.82,False,33
A Soldier's Story,Charles Fuller,WRITING (Screenplay Based on Material from Another Medium),1984,1985,0.9,0.82,False,33
A Star Is Born,Matthew Libatique,CINEMATOGRAPHY,2018,2019,0.9,0.8,False,34
A Star Is Born,Judy Garland,ACTRESS,1954,1955,0.9,0.8,False,34
A Star Is Born,"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",MUSIC (Original Song),2018,2019,0.9,0.8,True,34
A Star Is Born,"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",MUSIC (Original Song),2018,2019,0.9,0.8,True,34
A Star Is Born,Matthew Libatique,CINEMATOGRAPHY,2018,2019,0.9,0.8,False,34
A Star Is Born,"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",MUSIC (Original Song),2018,2019,0.9,0.8,True,34
A Star Is Born,Lady Gaga,ACTRESS IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Robert Surtees,CINEMATOGRAPHY,1976,1977,0.9,0.8,False,34
A Star Is Born,Music by Harold Arlen; Lyrics by Ira Gershwin,MUSIC (Song),1954,1955,0.9,0.8,False,34
A Star Is Born,Lady Gaga,ACTRESS IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Robert Surtees,CINEMATOGRAPHY,1976,1977,0.9,0.8,False,34
A Star Is Born,Robert Surtees,CINEMATOGRAPHY,1976,1977,0.9,0.8,False,34
A Star Is Born,Lady Gaga,ACTRESS IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Sam Elliott,ACTOR IN A SUPPORTING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Matthew Libatique,CINEMATOGRAPHY,2018,2019,0.9,0.8,False,34
A Star Is Born,Music by Harold Arlen; Lyrics by Ira Gershwin,MUSIC (Song),1954,1955,0.9,0.8,False,34
A Star Is Born,Ray Heindorf,MUSIC (Scoring of a Musical Picture),1954,1955,0.9,0.8,False,34
A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",BEST PICTURE,2018,2019,0.9,0.8,False,34
A Star Is Born,James Mason,ACTOR,1954,1955,0.9,0.8,False,34
A Star Is Born,James Mason,ACTOR,1954,1955,0.9,0.8,False,34
A Star Is Born,Judy Garland,ACTRESS,1954,1955,0.9,0.8,False,34
A Star Is Born,James Mason,ACTOR,1954,1955,0.9,0.8,False,34
A Star Is Born,Sam Elliott,ACTOR IN A SUPPORTING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,"Art Direction:  Malcolm Bert, Gene Allen, Irene Sharaff;  Set Decoration:  George James Hopkins",ART DIRECTION (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,"Art Direction:  Malcolm Bert, Gene Allen, Irene Sharaff;  Set Decoration:  George James Hopkins",ART DIRECTION (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,"Art Direction:  Malcolm Bert, Gene Allen, Irene Sharaff;  Set Decoration:  George James Hopkins",ART DIRECTION (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,"Jean Louis, Mary Ann Nyberg, Irene Sharaff",COSTUME DESIGN (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,"Jean Louis, Mary Ann Nyberg, Irene Sharaff",COSTUME DESIGN (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,Music by Harold Arlen; Lyrics by Ira Gershwin,MUSIC (Song),1954,1955,0.9,0.8,False,34
A Star Is Born,Screenplay by Eric Roth and Bradley Cooper & Will Fetters,WRITING (Adapted Screenplay),2018,2019,0.9,0.8,False,34
A Star Is Born,Screenplay by Eric Roth and Bradley Cooper & Will Fetters,WRITING (Adapted Screenplay),2018,2019,0.9,0.8,False,34
A Star Is Born,"Jean Louis, Mary Ann Nyberg, Irene Sharaff",COSTUME DESIGN (Color),1954,1955,0.9,0.8,False,34
A Star Is Born,Ray Heindorf,MUSIC (Scoring of a Musical Picture),1954,1955,0.9,0.8,False,34
A Star Is Born,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",SOUND MIXING,2018,2019,0.9,0.8,False,34
A Star Is Born,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",SOUND MIXING,2018,2019,0.9,0.8,False,34
A Star Is Born,Eric Stacey,ASSISTANT DIRECTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,Ray Heindorf,MUSIC (Scoring of a Musical Picture),1954,1955,0.9,0.8,False,34
A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",BEST PICTURE,2018,2019,0.9,0.8,False,34
A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",BEST PICTURE,2018,2019,0.9,0.8,False,34
A Star Is Born,Judy Garland,ACTRESS,1954,1955,0.9,0.8,False,34
A Star Is Born,Screenplay by Eric Roth and Bradley Cooper & Will Fetters,WRITING (Adapted Screenplay),2018,2019,0.9,0.8,False,34
A Star Is Born,Sam Elliott,ACTOR IN A SUPPORTING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,William Wellman,DIRECTING,1937,1938,0.9,0.8,False,34
A Star Is Born,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",SOUND MIXING,2018,2019,0.9,0.8,False,34
A Star Is Born,"William A. Wellman, Robert Carson",WRITING (Original Story),1937,1938,0.9,0.8,True,34
A Star Is Born,Music by Barbra Streisand; Lyrics by Paul Williams,MUSIC (Original Song),1976,1977,0.9,0.8,True,34
A Star Is Born,"Dorothy Parker, Alan Campbell, Robert Carson",WRITING (Screenplay),1937,1938,0.9,0.8,False,34
A Star Is Born,Music by Barbra Streisand; Lyrics by Paul Williams,MUSIC (Original Song),1976,1977,0.9,0.8,True,34
A Star Is Born,Fredric March,ACTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,"Dorothy Parker, Alan Campbell, Robert Carson",WRITING (Screenplay),1937,1938,0.9,0.8,False,34
A Star Is Born,"Dorothy Parker, Alan Campbell, Robert Carson",WRITING (Screenplay),1937,1938,0.9,0.8,False,34
A Star Is Born,Fredric March,ACTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,Janet Gaynor,ACTRESS,1937,1938,0.9,0.8,False,34
A Star Is Born,Janet Gaynor,ACTRESS,1937,1938,0.9,0.8,False,34
A Star Is Born,Janet Gaynor,ACTRESS,1937,1938,0.9,0.8,False,34
A Star Is Born,Music by Barbra Streisand; Lyrics by Paul Williams,MUSIC (Original Song),1976,1977,0.9,0.8,True,34
A Star Is Born,Bradley Cooper,ACTOR IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Fredric March,ACTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,"Robert Knudson, Dan Wallin, Robert Glass, Tom Overton",SOUND,1976,1977,0.9,0.8,False,34
A Star Is Born,"Robert Knudson, Dan Wallin, Robert Glass, Tom Overton",SOUND,1976,1977,0.9,0.8,False,34
A Star Is Born,"William A. Wellman, Robert Carson",WRITING (Original Story),1937,1938,0.9,0.8,True,34
A Star Is Born,"Robert Knudson, Dan Wallin, Robert Glass, Tom Overton",SOUND,1976,1977,0.9,0.8,False,34
A Star Is Born,Eric Stacey,ASSISTANT DIRECTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,Bradley Cooper,ACTOR IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,William Wellman,DIRECTING,1937,1938,0.9,0.8,False,34
A Star Is Born,William Wellman,DIRECTING,1937,1938,0.9,0.8,False,34
A Star Is Born,Bradley Cooper,ACTOR IN A LEADING ROLE,2018,2019,0.9,0.8,False,34
A Star Is Born,Eric Stacey,ASSISTANT DIRECTOR,1937,1938,0.9,0.8,False,34
A Star Is Born,"William A. Wellman, Robert Carson",WRITING (Original Story),1937,1938,0.9,0.8,True,34
A Star Is Born,Adaptation Score by Roger Kellaway,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),1976,1977,0.9,0.8,False,34
A Star Is Born,Adaptation Score by Roger Kellaway,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),1976,1977,0.9,0.8,False,34
A Star Is Born,Selznick International Pictures,OUTSTANDING PRODUCTION,1937,1938,0.9,0.8,False,34
A Star Is Born,Selznick International Pictures,OUTSTANDING PRODUCTION,1937,1938,0.9,0.8,False,34
A Star Is Born,Selznick International Pictures,OUTSTANDING PRODUCTION,1937,1938,0.9,0.8,False,34
A Star Is Born,Adaptation Score by Roger Kellaway,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),1976,1977,0.9,0.8,False,34
A Very Long Engagement,Art Direction: Aline Bonetto,ART DIRECTION,2004,2005,0.79,0.85,False,35
A Very Long Engagement,Bruno Delbonnel,CINEMATOGRAPHY,2004,2005,0.79,0.85,False,35
About Schmidt,Kathy Bates,ACTRESS IN A SUPPORTING ROLE,2002,2003,0.85,0.74,False,36
About Schmidt,Jack Nicholson,ACTOR IN A LEADING ROLE,2002,2003,0.85,0.74,False,36
About a Boy,Screenplay by Peter Hedges and Chris Weitz & Paul Weitz,WRITING (Adapted Screenplay),2002,2003,0.93,0.55,False,37
Absence of Malice,Kurt Luedtke,WRITING (Screenplay Written Directly for the Screen),1981,1982,0.81,0.63,False,38
Absence of Malice,Melinda Dillon,ACTRESS IN A SUPPORTING ROLE,1981,1982,0.81,0.63,False,38
Absence of Malice,Paul Newman,ACTOR IN A LEADING ROLE,1981,1982,0.81,0.63,False,38
Across the Universe,Albert Wolsky,COSTUME DESIGN,2007,2008,0.53,0.82,False,39
Ad Astra,"Gary Rydstrom, Tom Johnson and Mark Ulano",SOUND MIXING,2019,2020,0.83,0.4,False,40
Addams Family Values,Art Direction:  Ken Adam;  Set Decoration:  Marvin March,ART DIRECTION,1993,1994,0.75,0.63,False,41
Affliction,James Coburn,ACTOR IN A SUPPORTING ROLE,1998,1999,0.88,0.72,True,42
Affliction,Nick Nolte,ACTOR IN A LEADING ROLE,1998,1999,0.88,0.72,False,42
After the Wedding,Denmark,FOREIGN LANGUAGE FILM,2006,2007,0.87,0.87,False,43
Afterglow,Julie Christie,ACTRESS IN A LEADING ROLE,1997,1998,0.77,0.63,False,44
Aftersun,Paul Mescal,ACTOR IN A LEADING ROLE,2022,2023,0.96,0.81,False,45
Against All Odds,Music and Lyric by Phil Collins,MUSIC (Original Song),1984,1985,0.64,0.46,False,46
Agatha,Shirley Russell,COSTUME DESIGN,1979,1980,0.71,0.58,False,47
Agnes of God,Georges Delerue,MUSIC (Original Score),1985,1986,0.44,0.59,False,48
Agnes of God,Anne Bancroft,ACTRESS IN A LEADING ROLE,1985,1986,0.44,0.59,False,48
Agnes of God,Meg Tilly,ACTRESS IN A SUPPORTING ROLE,1985,1986,0.44,0.59,False,48
Air Force One,Richard Francis-Bruce,FILM EDITING,1997,1998,0.79,0.66,False,49
Air Force One,"Paul Massey, Rick Kline, D. M. Hemphill, Keith A. Wester",SOUND,1997,1998,0.79,0.66,False,49
Air Force One,Richard Francis-Bruce,FILM EDITING,1997,1998,0.79,0.66,False,49
Air Force One,"Paul Massey, Rick Kline, D. M. Hemphill, Keith A. Wester",SOUND,1997,1998,0.79,0.66,False,49
Airport,George Seaton,WRITING (Screenplay--based on material from another medium),1970,1971,0.75,0.54,False,50
Airport,"Ronald Pierce, David Moriarty",SOUND,1970,1971,0.75,0.54,False,50
Airport,George Seaton,WRITING (Screenplay--based on material from another medium),1970,1971,0.75,0.54,False,50
Airport,"Ross Hunter, Producer",BEST PICTURE,1970,1971,0.75,0.54,False,50
Airport,"Ross Hunter, Producer",BEST PICTURE,1970,1971,0.75,0.54,False,50
Airport,Ernest Laszlo,CINEMATOGRAPHY,1970,1971,0.75,0.54,False,50
Airport,Alfred Newman,MUSIC (Original Score),1970,1971,0.75,0.54,False,50
Airport,Alfred Newman,MUSIC (Original Score),1970,1971,0.75,0.54,False,50
Airport,"Ronald Pierce, David Moriarty",SOUND,1970,1971,0.75,0.54,False,50
Airport,Stuart Gilmore,FILM EDITING,1970,1971,0.75,0.54,False,50
Airport,Edith Head,COSTUME DESIGN,1970,1971,0.75,0.54,False,50
Airport,Edith Head,COSTUME DESIGN,1970,1971,0.75,0.54,False,50
Airport,Ernest Laszlo,CINEMATOGRAPHY,1970,1971,0.75,0.54,False,50
Airport,"Art Direction:  Alexander Golitzen, E. Preston Ames;  Set Decoration:  Jack D. Moore, Mickey S. Michaels",ART DIRECTION,1970,1971,0.75,0.54,False,50
Airport,Stuart Gilmore,FILM EDITING,1970,1971,0.75,0.54,False,50
Airport,Maureen Stapleton,ACTRESS IN A SUPPORTING ROLE,1970,1971,0.75,0.54,False,50
Airport,Maureen Stapleton,ACTRESS IN A SUPPORTING ROLE,1970,1971,0.75,0.54,False,50
Airport,Helen Hayes,ACTRESS IN A SUPPORTING ROLE,1970,1971,0.75,0.54,True,50
Airport,Helen Hayes,ACTRESS IN A SUPPORTING ROLE,1970,1971,0.75,0.54,True,50
Airport,"Art Direction:  Alexander Golitzen, E. Preston Ames;  Set Decoration:  Jack D. Moore, Mickey S. Michaels",ART DIRECTION,1970,1971,0.75,0.54,False,50
Airport '77,"Edith Head, Burton Miller",COSTUME DESIGN,1977,1978,0.4,0.32,False,51
Airport '77,Art Direction:  George C. Webb;  Set Decoration:  Mickey S. Michaels,ART DIRECTION,1977,1978,0.4,0.32,False,51
Ajami,Israel,FOREIGN LANGUAGE FILM,2009,2010,0.97,0.81,False,52
Aladdin,"Terry Porter, Mel Metcalfe, David J. Hudson, Doc Kane",SOUND,1992,1993,0.57,0.94,False,53
Aladdin,"Terry Porter, Mel Metcalfe, David J. Hudson, Doc Kane",SOUND,1992,1993,0.57,0.94,False,53
Aladdin,"Terry Porter, Mel Metcalfe, David J. Hudson, Doc Kane",SOUND,1992,1993,0.57,0.94,False,53
Aladdin,Mark Mangini,SOUND EFFECTS EDITING,1992,1993,0.57,0.94,False,53
Aladdin,Mark Mangini,SOUND EFFECTS EDITING,1992,1993,0.57,0.94,False,53
Aladdin,Mark Mangini,SOUND EFFECTS EDITING,1992,1993,0.57,0.94,False,53
Aladdin,Alan Menken,MUSIC (Original Score),1992,1993,0.57,0.94,True,53
Aladdin,Alan Menken,MUSIC (Original Score),1992,1993,0.57,0.94,True,53
Aladdin,Alan Menken,MUSIC (Original Score),1992,1993,0.57,0.94,True,53
Aladdin,Mark Mangini,SOUND EFFECTS EDITING,1992,1993,0.57,0.94,False,53
Aladdin,"Terry Porter, Mel Metcalfe, David J. Hudson, Doc Kane",SOUND,1992,1993,0.57,0.94,False,53
Aladdin,Music by Alan Menken; Lyric by Howard Ashman,MUSIC (Original Song),1992,1993,0.57,0.94,False,53
Aladdin,Music by Alan Menken; Lyric by Tim Rice,MUSIC (Original Song),1992,1993,0.57,0.94,True,53
Aladdin,Music by Alan Menken; Lyric by Tim Rice,MUSIC (Original Song),1992,1993,0.57,0.94,True,53
Aladdin,Music by Alan Menken; Lyric by Tim Rice,MUSIC (Original Song),1992,1993,0.57,0.94,True,53
Aladdin,Music by Alan Menken; Lyric by Howard Ashman,MUSIC (Original Song),1992,1993,0.57,0.94,False,53
Aladdin,Music by Alan Menken; Lyric by Howard Ashman,MUSIC (Original Song),1992,1993,0.57,0.94,False,53
Aladdin,Music by Alan Menken; Lyric by Howard Ashman,MUSIC (Original Song),1992,1993,0.57,0.94,False,53
Aladdin,Alan Menken,MUSIC (Original Score),1992,1993,0.57,0.94,True,53
Aladdin,Music by Alan Menken; Lyric by Tim Rice,MUSIC (Original Song),1992,1993,0.57,0.94,True,53
Alfie,Music by Burt Bacharach; Lyrics by Hal David,MUSIC (Song),1966,1967,0.48,0.51,False,54
Alfie,"Lewis Gilbert, Producer",BEST PICTURE,1966,1967,0.48,0.51,False,54
Alfie,Michael Caine,ACTOR,1966,1967,0.48,0.51,False,54
Alfie,Bill Naughton,WRITING (Screenplay--based on material from another medium),1966,1967,0.48,0.51,False,54
Alfie,Vivien Merchant,ACTRESS IN A SUPPORTING ROLE,1966,1967,0.48,0.51,False,54
Ali,Jon Voight,ACTOR IN A SUPPORTING ROLE,2001,2002,0.68,0.65,False,55
Ali,Will Smith,ACTOR IN A LEADING ROLE,2001,2002,0.68,0.65,False,55
Alice Doesn't Live Here Anymore,Robert Getchell,WRITING (Original Screenplay),1974,1975,0.92,0.81,False,56
Alice Doesn't Live Here Anymore,Ellen Burstyn,ACTRESS,1974,1975,0.92,0.81,True,56
Alice Doesn't Live Here Anymore,Diane Ladd,ACTRESS IN A SUPPORTING ROLE,1974,1975,0.92,0.81,False,56
Alien,"Art Direction:  Michael Seymour, Les Dilley, Roger Christian;  Set Decoration:  Ian Whittaker",ART DIRECTION,1979,1980,0.93,0.94,False,57
Alien,"Art Direction:  Michael Seymour, Les Dilley, Roger Christian;  Set Decoration:  Ian Whittaker",ART DIRECTION,1979,1980,0.93,0.94,False,57
Alien,"Art Direction:  Michael Seymour, Les Dilley, Roger Christian;  Set Decoration:  Ian Whittaker",ART DIRECTION,1979,1980,0.93,0.94,False,57
Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",VISUAL EFFECTS,1979,1980,0.93,0.94,True,57
Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",VISUAL EFFECTS,1979,1980,0.93,0.94,True,57
Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",VISUAL EFFECTS,1979,1980,0.93,0.94,True,57
Alien 3,"Richard Edlund, Alec Gillis, Tom Woodruff, Jr., George Gibbs",VISUAL EFFECTS,1992,1993,0.49,0.46,False,58
